date,sales,customers,category,region,promotion,satisfaction,sales_per_customer,sales_zscore,rolling_avg_sales,sales_momentum,peak_sales,year,month,day_of_week,is_weekend,sales_MA,sales_volatility
2023-03-05,880.3793375919329,37,D,North,0,4.564560367174037,23.79403615113332,-1.2419598762974715,971.8603052868414,-0.010105130990651356,1244.5751979616825,2023,3,6,1,977.394625533734,87.20968371339556
2023-03-06,1081.2525822394198,33,C,East,0,2.8414214925393075,32.765229764830906,0.8104347878836248,987.8851366903473,0.22816669595736716,1307.8880808455237,2023,3,0,0,977.3612285680374,87.16832494721079
2023-03-07,1135.6240028570824,41,D,North,0,3.8386853740180977,27.69814641114835,1.3659672768194668,1002.5276595070225,0.05028558683767681,1244.5751979616825,2023,3,1,0,985.9515074965103,89.69201752684624
2023-03-08,992.7989878419667,30,C,West,1,4.934846332836607,33.09329959473222,-0.09332760958030716,987.5625845255555,-0.12576787269006862,1307.8880808455237,2023,3,2,0,985.01526177456,89.46107411144555
2023-03-09,1100.3532897892023,37,D,South,0,1.200701401279896,29.739278102410875,1.0055936320893493,1008.7441150360885,0.10833441941860245,1244.5751979616825,2023,3,3,0,994.8926051804659,85.03886523567141
2023-03-10,1036.1636025047635,33,A,South,0,1.3867782391502685,31.398897045598893,0.349744358039782,1016.5626150605378,-0.058335525399061394,1385.2731490654721,2023,3,4,0,1000.5253454269528,81.82360307362157
2023-03-11,935.4880245394876,25,B,East,1,3.8818269658510247,37.4195209815795,-0.6788944703511712,1023.1514039091222,-0.09716185525327126,1245.5300139910894,2023,3,5,1,997.7187421253719,82.5842027150405
2023-03-12,1036.1395605508415,28,A,South,0,2.127300013181888,37.0049843053872,0.34949871269247507,1045.4028643318234,0.1075925435399363,1385.2731490654721,2023,3,6,1,996.461838877082,81.66746516844997
2023-03-13,1153.803656646597,22,B,West,1,1.7372055878003962,52.445620756663494,1.551715381300668,1055.7673035328487,0.11356008454421129,1245.5300139910894,2023,3,0,0,1001.0173998280021,86.52766540160181
2023-03-14,996.4173960890048,37,B,North,0,1.157447519278918,26.930199894297427,-0.05635702252137577,1035.8806454231233,-0.13640644978974836,1245.5300139910894,2023,3,1,0,1001.2834739722629,86.49990895419985
2023-03-15,1156.4643655814007,31,C,East,1,1.0873868479448072,37.30530211552905,1.5789008077635773,1059.2614136716138,0.16062241598810845,1307.8880808455237,2023,3,2,0,1007.5026318102739,90.76684629540264
2023-03-16,738.0254895910256,37,B,West,1,4.0979424124791635,19.946634853811503,-2.69644067873302,1007.5002993575887,-0.3618260003887013,1245.5300139910894,2023,3,3,0,1003.6985547645329,99.47598356006617
2023-03-17,1082.1902504375223,27,A,South,1,1.5377337094782,40.0811203865749,0.8200152833345504,1014.0755347765543,0.46633180791250783,1385.2731490654721,2023,3,4,0,1008.8377104737659,99.41369046482875
2023-03-18,1008.7047068238171,35,A,South,1,2.8708824638846036,28.82013448068049,0.06918687972165195,1024.5350608171727,-0.06790445911335419,1385.2731490654721,2023,3,5,1,1010.6633299377592,98.87212578894778
2023-03-19,970.0992649534132,35,D,West,1,3.423587260717932,27.717121855811808,-0.3252588964802393,1015.1007328746829,-0.038272292782258965,1244.5751979616825,2023,3,6,1,1006.1428980154766,97.46676581371736
2023-03-20,1009.1760776535502,36,A,North,0,2.713407202275385,28.032668823709727,0.07400304614288271,994.4396501613907,0.0402812517356288,1385.2731490654721,2023,3,0,0,1005.3033729720333,97.32368509854835
2023-03-21,801.2431085399107,31,D,North,0,1.1084266093449324,25.846551888384216,-2.0505233787928514,966.5576090829485,-0.20604230888737218,1244.5751979616825,2023,3,1,0,1004.5549437745728,98.84289769630654
2023-03-22,978.0328112162488,27,B,East,1,4.134006010351635,36.22343745245366,-0.24419898207276208,941.067387030784,0.22064427237133866,1245.5300139910894,2023,3,2,0,1002.7424242504652,98.81307434373362
2023-03-23,1035.7112571511746,28,A,South,1,1.042052898166614,36.98968775539909,0.34512258179624933,983.5939252536625,0.05897393755450686,1385.2731490654721,2023,3,3,0,1005.2164070902253,98.67368654448781
2023-03-24,1147.7894044741515,28,B,West,1,4.0475595775099364,40.9924787312197,1.4902655894708587,992.9652329731808,0.10821370005310071,1245.5300139910894,2023,3,4,0,1012.3991272403836,100.99881300090975
2023-03-25,948.1729781726352,25,A,North,0,4.573217975152491,37.92691912690541,-0.5492877066542692,984.3178431658691,-0.17391380816323931,1385.2731490654721,2023,3,5,1,1008.6326388833352,101.22407459237132
2023-03-26,919.1506397106813,25,A,East,1,2.731359684228689,36.766025588427254,-0.845819445890639,977.0394681311931,-0.030608696018618042,1385.2731490654721,2023,3,6,1,1002.5009951320382,100.87515812300347
2023-03-27,949.8242956415463,32,D,South,1,3.142169892391193,29.682009238798322,-0.5324155982357996,968.5606421294784,0.03337173974063723,1244.5751979616825,2023,3,0,0,997.7242045897023,99.82314964150733
2023-03-28,1091.5402117702074,32,B,South,1,2.907933570470615,34.11063161781898,0.9155472233058429,1010.0316568766635,0.14920224380335623,1245.5300139910894,2023,3,1,0,1003.5729367261181,100.01453787795533
2023-03-29,1032.8751109659684,28,A,East,1,2.5568344744937552,36.88839682021315,0.3161446494311409,1017.8662711266236,-0.053745249301534015,1385.2731490654721,2023,3,2,0,1005.699481677821,99.93401777864749
2023-03-30,947.0239796232961,30,C,East,0,4.549698141481441,31.567465987443203,-0.5610274408132602,1005.1966600512122,-0.08311859820339973,1307.8880808455237,2023,3,3,0,1002.8294028939191,100.35469691892665
2023-03-31,1051.3267433113356,28,B,North,1,4.5757340426799615,37.547383689690555,0.5046716572838853,991.4162798850957,0.11013740510512582,1245.5300139910894,2023,3,4,0,1001.2884772472224,99.19830411839646
2023-04-01,1009.707754934804,31,B,West,1,2.343265458566138,32.57121790112271,0.0794353854124881,1000.2069622796913,-0.03958711089707978,1245.5300139910894,2023,4,5,1,1003.2093165378668,98.76963401356436
2023-04-02,1096.864499053289,32,B,South,0,3.460279016058792,34.27701559541528,0.9699473940679597,1025.5946564714923,0.08631878253139935,1245.5300139910894,2023,4,6,1,1007.0569964285224,100.13108159396783
2023-04-03,929.7946906122647,36,D,West,1,4.707630248583456,25.82763029478513,-0.7370653242851503,1022.7332843244521,-0.15231581347123846,1244.5751979616825,2023,4,0,0,1008.404602695618,98.75513113110414
2023-04-04,967.2337853402232,43,C,South,1,4.848233995765407,22.49380896140054,-0.3545365390988552,1004.9752234058831,0.04026598033519102,1307.8880808455237,2023,4,1,0,1011.2997509538944,96.11017618277653
2023-04-05,960.7891846867842,24,B,South,0,3.03583616168819,40.03288269528267,-0.4203833571612014,994.6772339374281,-0.006662919297398373,1245.5300139910894,2023,4,2,0,1007.2843043688066,95.6019076010945
2023-04-06,853.6485051867882,32,A,West,0,2.811299221137307,26.67651578708713,-1.5150784685406349,981.3378804464985,-0.11151320311221424,1385.2731490654721,2023,4,3,0,997.88512111313,96.40692466510258
2023-04-07,1029.6120277064576,27,A,East,0,2.114777263714103,38.133778803942874,0.2828045464106949,978.2357782172302,0.20613112006933898,1385.2731490654721,2023,4,4,0,999.1122224419464,96.5740939594005
2023-04-08,1026.105527217989,30,D,North,1,4.83548749276164,34.20351757393296,0.24697736143585663,980.578317114828,-0.003405652220555,1244.5751979616825,2023,4,5,1,996.637297022906,94.82565493987677
2023-04-09,1000.511345664246,26,A,South,1,1.5712572178914694,38.481205602471,-0.014527657548469526,966.8135809163932,-0.0249430305897822,1385.2731490654721,2023,4,6,1,995.4488884615554,94.53617264071376
2023-04-10,976.5412866624853,35,B,East,0,3.3193183041909,27.90117961892815,-0.25943842842616466,973.4916660664248,-0.02395780828037175,1245.5300139910894,2023,4,0,0,996.817330532322,93.93349874017999
2023-04-11,858.4629257949586,27,A,South,0,2.1302010700745555,31.79492317759106,-1.465887790186866,957.9529718456727,-0.12091486809644458,1385.2731490654721,2023,4,1,0,990.8947760404593,96.92246587846402
2023-04-12,957.9354677234641,34,B,North,0,2.1160331613911865,28.174572580101884,-0.44954081652757816,957.5452979937699,0.11587284545385734,1245.5300139910894,2023,4,2,0,984.3658364096881,92.04443612213667
2023-04-13,965.728548347323,29,A,South,1,2.619874349504754,33.300984425769755,-0.36991609040733286,973.5567327309891,0.008135287695714144,1385.2731490654721,2023,4,3,0,983.3428748182988,92.07640817190017
2023-04-14,919.7722730778381,24,C,North,1,4.995171743262619,38.32384471157659,-0.8394679927238988,957.8653392126149,-0.04758715619221476,1307.8880808455237,2023,4,4,0,975.4531384015133,86.7152724752259
2023-04-15,983.8714288333991,24,D,North,0,1.2198652273592883,40.9946428680583,-0.18454371208067122,951.8318965862449,0.06969024576166638,1244.5751979616825,2023,4,5,1,983.6480030429258,74.22029672501169
2023-04-16,1040.4050856814538,33,D,South,1,3.314167272814126,31.527426838831932,0.39308112723136746,957.5310023029888,0.05746041117901757,1244.5751979616825,2023,4,6,1,982.2551642177235,72.68342144623129
2023-04-17,1188.618590121053,31,C,South,0,1.3302886321411087,38.34253516519526,1.9074321609155371,987.8277599399271,0.14245749706473343,1307.8880808455237,2023,4,0,0,988.2522936609647,81.79259540732016
2023-04-18,1017.4577812831839,44,C,North,1,1.6180833199620759,23.124040483708725,0.15862021041290747,1010.5413107239593,-0.14399977441076173,1307.8880808455237,2023,4,1,0,989.830910871957,81.88711707178759
2023-04-19,1025.7550390722765,35,D,East,1,2.7582517670915947,29.30728683063647,0.24339629716131198,1020.2298209166468,0.00815489147729398,1244.5751979616825,2023,4,2,0,990.3835429192479,82.07789482984741
2023-04-20,992.5554084233833,42,C,West,1,3.041840525385765,23.632271629128173,-0.09581634868482172,1024.0622294989412,-0.0323660419732571,1307.8880808455237,2023,4,3,0,996.7606195820302,73.90050245990328
2023-04-21,808.1228784700959,25,B,North,1,2.035169633458096,32.32491513880384,-1.9802302786824568,1008.1123159835494,-0.1858158530879881,1245.5300139910894,2023,4,4,0,991.0969551571585,81.50489669551698
2023-04-22,997.3486124550783,32,A,South,0,2.2658285234976647,31.167144139221197,-0.04684244777409485,1010.0376279295035,0.23415465522176104,1385.2731490654721,2023,4,5,1,989.8182003339554,81.0806299914881
2023-04-23,1006.0230209941027,28,D,South,1,1.3478680810237322,35.92939360693224,0.04178712472902123,1005.125904402739,0.008697468899737437,1244.5751979616825,2023,4,6,1,985.0926542179537,75.49509221933513
2023-04-24,1246.3242112485286,35,C,East,1,2.212879135377002,35.60926317852939,2.497031383565264,1013.369564563807,0.23886251630402255,1307.8880808455237,2023,4,0,0,995.0310286538169,88.9016280917355
2023-04-25,980.7639035218878,36,B,West,0,4.866233757522176,27.243441764496882,-0.21629442322862028,1008.127582026479,-0.21307482060435212,1245.5300139910894,2023,4,1,0,997.0848041141904,87.79298975776345
2023-04-26,1030.1547342333613,33,D,North,1,4.778829526689927,31.216810128283676,0.2883495754761039,1008.756109906634,0.0503595519106208,1244.5751979616825,2023,4,2,0,999.7624854005843,87.52647437370709
2023-04-27,996.5288230294757,32,C,North,0,2.33951316054794,31.141525719671115,-0.05521853312987012,1009.3237405646471,-0.03264161206705507,1307.8880808455237,2023,4,3,0,996.5954391092265,85.79285956560192
2023-04-28,883.1321962380468,31,D,West,0,3.2834157451150463,28.48813536251764,-1.2138329228724685,1020.0393573886403,-0.1137916176339987,1244.5751979616825,2023,4,4,0,991.6040086182958,87.93851483756985
2023-04-29,1114.282281451502,25,C,North,1,4.638381564443778,44.571291258060086,1.147911182718333,1036.7441672452721,0.26173894032864475,1307.8880808455237,2023,4,5,1,997.1792853459026,90.28543963371622
2023-04-30,1075.1933032686775,32,D,West,1,1.0247352905635867,33.59979072714617,0.7485249409542328,1046.6256361416401,-0.03507996028789573,1244.5751979616825,2023,4,6,1,997.9748373444808,90.88219172028805
2023-05-01,1079.1031947043048,25,B,South,0,4.2427342813503675,43.16412778817219,0.7884737172787816,1022.7369194924652,0.003636454415909096,1245.5300139910894,2023,5,0,0,1000.2880186701308,92.066549236647
2023-05-02,909.0612545205261,31,B,West,0,4.793478211155676,29.324556597436324,-0.9489063471127595,1012.493683920842,-0.1575770890293523,1245.5300139910894,2023,5,1,0,994.0279105190386,91.657321410086
2023-05-03,1140.27943109361,33,A,North,0,1.3653029373342283,34.55392215435182,1.4135334725509832,1028.2257834723061,0.25434829107862167,1385.2731490654721,2023,5,2,0,1001.0440685350835,94.58032145796749
2023-05-04,859.8148937207719,29,D,West,1,1.6457907441316841,29.648789438647306,-1.4520742444259422,1008.6952221424914,-0.245961235224468,1244.5751979616825,2023,5,3,0,997.4634388144351,97.88022171719396
2023-05-05,1058.685709380027,23,A,East,0,4.842985211085422,46.02981345130552,0.5798608778282996,1033.7742954484886,0.23129491837325533,1385.2731490654721,2023,5,4,0,1000.7266563042099,98.24657652096839
2023-05-06,1219.0455625809977,34,D,South,0,3.150160574561385,35.854281252382286,2.218315554239352,1048.7404784669877,0.15147068840182842,1244.5751979616825,2023,5,5,1,1012.9065582173502,101.96347657930006
2023-05-07,900.9463674869312,26,C,South,0,1.0567865378868948,34.65178336488197,-1.0318190858272174,1023.8480590695955,-0.26094118616910256,1307.8880808455237,2023,5,6,1,1008.6177028766994,103.92373684607848
2023-05-08,943.3702270397227,24,C,West,1,2.0305279950541166,39.30709279332178,-0.5983591537545419,1004.4576351175123,0.047088107665195666,1307.8880808455237,2023,5,0,0,1005.8598595374239,104.53961259237003
2023-05-09,1009.9651365087641,25,A,North,0,2.7997746970754385,40.398605460350566,0.08206514613538171,1018.8724754015465,0.07059254952110883,1385.2731490654721,2023,5,1,0,1006.1749858989077,104.53718279051854
2023-05-10,949.6524345883801,20,D,East,1,3.771635644099071,47.482621729419,-0.53417156483612,991.6400473293708,-0.05971760780661428,1244.5751979616825,2023,5,2,0,1005.2786908297709,104.91461180214652
2023-05-11,844.9336568933868,20,A,South,1,3.9326415125471983,42.24668284466934,-1.604121228654922,989.51415635403,-0.1102706357409412,1385.2731490654721,2023,5,3,0,1004.8277151997185,105.59433713150136
2023-05-12,1006.8562974806027,25,B,South,0,4.981686051701825,40.27425189922411,0.05030101226880538,982.1099546541124,0.19163947283454852,1245.5300139910894,2023,5,4,0,1006.4584095249563,105.2222957798392
2023-05-13,893.7696286273895,38,A,North,1,2.150044797535036,23.5202533849313,-1.105146425002693,935.641964089311,-0.1123165928804174,1385.2731490654721,2023,5,5,1,1004.0597788676253,106.98814810673333
2023-05-14,1047.359243063518,30,A,North,0,3.152880407473901,34.911974768783935,0.4641342708686473,956.5580891716805,0.1718447455772294,1385.2731490654721,2023,5,6,1,1008.312677867148,106.05387321518357
2023-05-15,908.0575765766197,27,C,East,1,3.13329419143842,33.63176209543036,-0.9591612880345568,951.5134248198086,-0.13300275660855587,1307.8880808455237,2023,5,0,0,1005.7855494585888,107.54909320622689
2023-05-16,1154.9934405017539,31,A,West,1,2.62258103778895,37.25785291941141,1.5638718336950042,972.2317539616644,0.27193855356186036,1385.2731490654721,2023,5,1,0,1009.605161285932,110.80648173822188
2023-05-17,921.6746707663763,29,D,North,0,1.6766475753696808,31.781885198840563,-0.8200305068010817,968.234930558521,-0.20200874009641034,1244.5751979616825,2023,5,2,0,1000.7070306407761,106.57276566307733
2023-05-18,967.7938483794325,24,C,West,0,4.90982625273537,40.32474368247635,-0.3488141722635143,985.7863864850989,0.05003845616665137,1307.8880808455237,2023,5,3,0,999.0515662106511,106.68926037415463
2023-05-19,1081.351721736967,25,A,East,0,4.413268746666344,43.25406886947868,0.8114477320222656,996.4285899502938,0.11733684146441603,1385.2731490654721,2023,5,4,0,1000.9047889661407,107.64766236962218
2023-05-20,876.9135683566045,21,B,West,1,2.993332113176949,41.75778896936212,-1.2773708953127405,994.0205813401816,-0.18905796261365826,1245.5300139910894,2023,5,5,1,997.0500609639148,110.00170844901196
2023-05-21,1022.7459934604129,34,A,South,1,3.4129816907361192,30.080764513541556,0.2126517887579941,990.5044028254523,0.1663019371191945,1385.2731490654721,2023,5,6,1,1004.2041647969253,104.11238367521972
